pinyin	unattested
chǒu	
chòu	
chou	
	
chū	
chú	
chǔ	
chù	
chu	
	
chuā	
chuá	True
chuǎ	
chuà	
chua	
	
chuāi	
chuái	
chuǎi	
chuài	
chuai	
	
chuān	
chuán	
chuǎn	
chuàn	
chuan	
	
chuāng	
chuáng	
chuǎng	
chuàng	
chuang	
	
chuī	
chuí	
chuǐ	
chuì	
chui	
	
chūn	
chún	
chǔn	
chùn	True
chun	
	
chuō	
chuó	
chuǒ	True
chuò	
chuo	
	
cī	
cí	
cǐ	
cì	
ci	
	
cōng	
cóng	
cǒng	
còng	
cong	
	
cōu	
cóu	
cǒu	
còu	
cou	
	
cū	
cú	
cǔ	
cù	
cu	
	
cuān	
cuán	
cuǎn	True
cuàn	
cuan	
	
cuī	
cuí	
cuǐ	
cuì	
cui	
	
cūn	
cún	
cǔn	
cùn	
cun	
	
cuō	
cuó	
cuǒ	
cuò	
cuo	
	
dā	
dá	
dǎ	
dà	
da	
	
dāi	
dái	True
dǎi	
dài	
dai	
	
dān	
dán	True
dǎn	
dàn	
dan	
	
dāng	
dáng	True
dǎng	
dàng	
dang	
	
dāo	
dáo	
dǎo	
dào	
dao	
	
dē	
dé	
dě	True
dè	True
de	
	
dēi	
déi	True
děi	
dèi	True
dei	
	
dēn	True
dén	True
děn	True
dèn	
den	
	
dēng	
déng	True
děng	
dèng	
deng	
	
dī	
dí	
dǐ	
dì	
di	
	
diā	True
diá	True
diǎ	
dià	True
dia	
	
diān	
dián	
diǎn	
diàn	
dian	
	
diāo	
diáo	True
diǎo	
diào	
diao	
	
diē	
dié	
diě	
diè	
die	
	
dīng	
díng	True
dǐng	
dìng	
ding	
	
diū	
diú	True
diǔ	True
diù	True
diu	
	
dōng	
dóng	True
dǒng	
dòng	
dong	
	
dōu	
dóu	
dǒu	
dòu	
dou	
	
dū	
dú	
dǔ	
dù	
du	
	
duān	
duán	True
duǎn	
duàn	
duan	
	
duī	
duí	True
duǐ	
duì	
dui	
	
dūn	
dún	True
dǔn	
dùn	
dun	
	
duō	
duó	
duǒ	
duò	
duo	
	
ē	
é	
ě	
è	
e	
	
ēi	
éi	
ěi	
èi	
ei	
	
ēn	
én	True
ěn	
èn	
en	
	
ēng	
éng	True
ěng	True
èng	True
eng	
	
ēr	True
ér
ěr
èr
er	

fā	
fá	
fǎ	
fà	
fa	
	
fān	
fán	
fǎn	
fàn	
fan	
	
fāng	
fáng	
fǎng	
fàng	
fang	
	
fēi	
féi	
fěi	
fèi	
fei	
	
fēn	
fén	
fěn	
fèn	
fen	
	
fēng	
féng	
fěng	
fèng	
feng	
	
fiāo	True
fiáo	True
fiǎo	True
fiào	True
fiao	True
	
fō	True
fó	
fǒ	True
fò	True
fo	
	
fōu	
fóu	
fǒu	
fòu	
fou	
	
fū	
fú	
fǔ	
fù	
fu	
	
gā	
gá	
gǎ	
gà	
ga	
	
gāi	
gái	True
gǎi	
gài	
gai	
	
gān	
gán	True
gǎn	
gàn	
gan	
	
gāng	
gáng	True
gǎng	
gàng	
gang	
	
gāo	
gáo	True
gǎo	
gào	
gao	
	
gē	
gé	
gě	
gè	
ge	
	
gēi	True
géi	True
gěi	
gèi	
gei	
	
gēn	
gén	True
gěn	
gèn	
gen	
	
gēng	
géng	True
gěng	
gèng	
geng	
	
gōng	
góng	True
gǒng	
gòng	
gong	
	
gōu	
góu	TrueTrue
gǒu	
gòu	
gou	
	
gū	
gú	
gǔ	
gù	
gu	
	
guā	
guá	
guǎ	
guà	
gua	
	
guāi	
guái	True
guǎi	
guài	
guai	
	
guān	
guán	
guǎn	
guàn	
guan	
	
guāng	
guáng	True
guǎng	
guàng	
guang	
	
guī	
guí	
guǐ	
guì	
gui	
	
gūn	
gún	True
gǔn	
gùn	
gun	
	
guō	
guó	
guǒ	
guò	
guo	
	
hā	
há	
hǎ	
hà	
ha	
	
hāi	
hái	
hǎi	
hài	
hai	
	
hān	
hán	
hǎn	
hàn	
han	
	
hāng	
háng	
hǎng	
hàng	
hang	
	
hāo	
háo	
hǎo	
hào	
hao	
	
hē	
hé	
hě	
hè	
he	
	
hēi	
héi	True
hěi	True
hèi	True
hei	
	
hēn	
hén	
hěn	
hèn	
hen	
	
hēng	
héng	
hěng	True
hèng	
heng	
	
hm	
hng	
hōng	
hóng	
hǒng	
hòng	
hong	
	
hōu	
hóu	
hǒu	
hòu	
hou	
	
hū	
hú	
hǔ	
hù	
hu	
	
huā	
huá	
huǎ	
huà	
hua	
	
huāi	
huái	
huǎi	True
huài	
huai	
	
huān	
huán	
huǎn	
huàn	
huan	
	
huāng	
huáng	
huǎng	
huàng	
huang	
	
huī	
huí	
huǐ	
huì	
hui	
	
hūn	
hún	
hǔn	
hùn	
hun	
	
huō	
huó	
huǒ	
huò	
huo	
	
jī	
jí	
jǐ	
jì	
ji	
	
jiā	
jiá	
jiǎ	
jià	
jia	
	
jiān	
jián	True
jiǎn	
jiàn	
jian	
	
jiāng	
jiáng	
jiǎng	
jiàng	
jiang	
	
jiāo	
jiáo	
jiǎo	
jiào	
jiao	
	
jiē	
jié	
jiě	
jiè	
jie	
	
jīn	
jín	True
jǐn	
jìn	
jin	
	
jīng	
jíng	True
jǐng	
jìng	
jing	
	
jiōng	
jióng	True
jiǒng	
jiòng	
jiong	
	
jiū	
jiú	
jiǔ	
jiù	
jiu	
	
jū	
jú	
jǔ	
jù	
ju	
	
juān	
juán	True
juǎn	
juàn	
juan	
	
juē	
jué	
juě	
juè	
jue	
	
jūn	
jún	True
jǔn	
jùn	
jun	
	
kā	
ká	True
kǎ	
kà	
ka	
	
kāi	
kái	True
kǎi	
kài	
kai	
	
kān	
kán	True
kǎn	
kàn	
kan	
	
kāng	
káng	
kǎng	
kàng	
kang	
	
kāo	
káo	True
kǎo	
kào	
kao	
	
kē	
ké	
kě	
kè	
ke	
	
kēi	
kéi	True
kěi	True
kèi	True
kei	
	
kēn	
kén	True
kěn	
kèn	
ken	
	
kēng	
kéng	True
kěng	
kèng	True
keng	
	
kōng	
kóng	True
kǒng	
kòng	
kong	
	
kōu	
kóu	True
kǒu	
kòu	
kou	
	
kū	
kú	
kǔ	
kù	
ku	
	
kuā	
kuá	True
kuǎ	
kuà	
kua	
	
kuāi	True
kuái	True
kuǎi	
kuài	
kuai	
	
kuān	
kuán	True
kuǎn	
kuàn	
kuan	
	
kuāng	
kuáng	
kuǎng	
kuàng	
kuang	
	
kuī	
kuí	
kuǐ	
kuì	
kui	
	
kūn	
kún	True
kǔn	
kùn	
kun	
	
kuō	True
kuó	True
kuǒ	
kuò	
kuo	
	
lā	
lá	
lǎ	
là	
la	
	
lāi	True
lái	
lǎi	
lài	
lai	
	
lān	
lán	
lǎn	
làn	
lan	
	
lāng	
láng	
lǎng	
làng	
lang	
	
lāo	
láo	
lǎo	
lào	
lao	
	
lē	
lé	True
lě	True
lè	
le	
	
lēi	
léi	
lěi	
lèi	
lei	
	
lēng	
léng	
lěng	
lèng	
leng	
	
lī	
lí	
lǐ	
lì	
li	
	
liā	True
liá	True
liǎ	
lià	True
lia	
	
liān	True
lián	
liǎn	
liàn	
lian	
	
liāng	
liáng	
liǎng	
liàng	
liang	
	
liāo	
liáo	
liǎo	
liào	
liao	
	
liē	
lié	
liě	
liè	
lie	
	
līn	
lín	
lǐn	
lìn	
lin	
	
līng	
líng	
lǐng	
lìng	
ling	
	
liū	
liú	
liǔ	
liù	
liu	
	
lo	
	
lōng	
lóng	
lǒng	
lòng	
long	
	
lōu	
lóu	
lǒu	
lòu	
lou	
	
lū	
lú	
lǔ	
lù	
lu	
	
luān	True
luán	
luǎn	
luàn	
luan	
	
lüē	True
lüé	True
lüě	
lüè	
lüe	
	
lūn	
lún	
lǔn	
lùn	
lun	
	
luō	
luó	
luǒ	
luò	
luo	
	
lǖ	True
lǘ	
lǚ	
lǜ	
lü	
	
mā	
má	
mǎ	
mà	
ma	
	
māi	True
mái	
mǎi	
mài	
mai	
	
mān	
mán	
mǎn	
màn	
man	
	
māng	
máng	
mǎng	
màng	
mang	
	
māo	
máo	
mǎo	
mào	
mao	
	
me	
	
mēi	True
méi	
měi	
mèi	
mei	
	
mēn	
mén	
měn	
mèn	
men	
	
mēng	
méng	
měng	
mèng	
meng	
	
mī	
mí	
mǐ	
mì	
mi	
	
miān	
mián	
miǎn	
miàn	
mian	
	
miāo	
miáo	
miǎo	
miào	
miao	
	
miē	
mié	
miě	True
miè	
mie	
	
mīn	True
mín	
mǐn	
mìn	True
min	
	
mīng	
míng	
mǐng	
mìng	
ming	
	
miū	
miú	
miǔ	
miù	
miu	
	
mō	
mó	
mǒ	
mò	
mo	
	
mōu	
móu	
mǒu	
mòu	
mou	
	
mū	True
mú	
mǔ	
mù	
mu	
	
nā	
ná	
nǎ	
nà	
na	
	
nāi	True
nái	
nǎi	
nài	
nai	
	
nān	
nán	
nǎn	
nàn	
nan	
	
nāng	
náng	
nǎng	
nàng	
nang	
	
nāo	
náo	
nǎo	
nào	
nao	
	
nē	True
né	
ně	True
nè	
ne	
	
nēi	True
néi	
něi	
nèi	
nei	
	
nēn	True
nén	True
něn	
nèn	
nen	
	
nēng	True
néng	
něng	
nèng	
neng	
	
nī	
ní	
nǐ	
nì	
ni	
	
niān	
nián	
niǎn	
niàn	
nian	
	
niāng	True
niáng	
niǎng	
niàng	
niang	
	
niāo	True
niáo	True
niǎo	
niào	
niao	
	
niē	
nié	
niě	
niè	
nie	
	
nīn	True
nín	
nǐn	
nìn	True
nin	
	
nīng	True
níng	
nǐng	
nìng	
ning	
	
niū	
niú	
niǔ	
niù	
niu	
	
nōng	
nóng	
nǒng	
nòng	
nong	
	
nōu	True
nóu	
nǒu	
nòu	
nou	
	
nū	
nú	
nǔ	
nù	
nu	
	
nuān	True
nuán	
nuǎn	
nuàn	
nuan	
	
nüē	True
nüé	True
nüě	True
nüè	
nüe	
	
nūn	True
nún	
nǔn	True
nùn	
nun	
	
nuō	
nuó	
nuǒ	
nuò	
nuo	
	
nǖ	True
nǘ	
nǚ	
nǜ	
nü	
	
ō	
	
ó	
	
ǒ	
	
ò	
	
o	
	
ōu	
óu	
ǒu	
òu	
ou	

pā	
pá	
pǎ	
pà	
pa	
	
pāi	
pái	
pǎi	
pài	
pai	
	
pān	
pán	
pǎn	
pàn	
pan	
	
pāng	
páng	
pǎng	
pàng	
pang	
	
pāo	
páo	
pǎo	
pào	
pao	
	
pēi	
péi	
pěi	
pèi	
pei	
	
pēn	
pén	
pěn	
pèn	
pen	
	
pēng	
péng	
pěng	
pèng	
peng	
	
pī	
pí	
pǐ	
pì	
pi	
	
piān	
pián	
piǎn	
piàn	
pian	
	
piāo	
piáo	
piǎo	
piào	
piao	
	
piē	
pié	True
piě	
piè	
pie	
	
pīn	
pín	
pǐn	
pìn	
pin	
	
pīng	
píng	
pǐng	
pìng	
ping	
	
pō	
pó	
pǒ	
pò	
po	
	
pōu	
póu	
pǒu	
pòu	
pou	
	
pū	
pú	
pǔ	
pù	
pu	
	
qī	
qí	
qǐ	
qì	
qi	
	
qiā	
qiá	
qiǎ	
qià	
qia	
	
qiān	
qián	
qiǎn	
qiàn	
qian	
	
qiāng	
qiáng	
qiǎng	
qiàng	
qiang	
	
qiāo	
qiáo	
qiǎo	
qiào	
qiao	
	
qiē	
qié	
qiě	
qiè	
qie	
	
qīn	
qín	
qǐn	
qìn	
qin	
	
qīng	
qíng	
qǐng	
qìng	
qing	
	
qiōng	
qióng	
qiǒng	
qiòng	
qiong	
	
qiū	
qiú	
qiǔ	
qiù	
qiu	
	
qū	
qú	
qǔ	
qù	
qu	
	
quān	
quán	
quǎn	
quàn	
quan	
	
quē	
qué	
quě	True
què	
que	
	
qūn	
qún	
qǔn	
qùn	True
qun	
	
rān	True
rán	
rǎn	
ràn	
ran	
	
rāng	
ráng	
rǎng	
ràng	
rang	
	
rāo	True
ráo	
rǎo	
rào	
rao	
	
rē	True
ré	
rě	
rè	
re	
	
rēn	True
rén	
rěn	
rèn	
ren	
	
rēng	
réng	
rěng	True
rèng	
reng	
	
rī	True
rí	
rǐ	True
rì	
ri	
	
rōng	
róng	
rǒng	
ròng	
rong	
	
rōu	True
róu	
rǒu	
ròu	
rou	
	
rū	
rú	
rǔ	
rù	
ru	
	
ruā	True
ruá	
ruǎ	True
ruà	True
rua	
	
ruān	True
ruán	
ruǎn	
ruàn	
ruan	
	
ruī	True
ruí	
ruǐ	
ruì	
rui	
	
rūn	
rún	
rǔn	
rùn	
run	
	
ruō	True
ruó	
ruǒ	True
ruò	
ruo	
	
sā	
sá	True
sǎ	
sà	
sa	
	
sāi	
sái	True
sǎi	
sài	
sai	
	
sān	
sán	True
sǎn	
sàn	
san	
	
sāng	
sáng	True
sǎng	
sàng	
sang	
	
sāo	
sáo	True
sǎo	
sào	
sao	
	
sē	True
sé	True
sě	True
sè	
se	
	
sēn	
sén	True
sěn	
sèn	True
sen	
	
sēng	
séng	True
sěng	True
sèng	
seng	
	
shā	
shá	
shǎ	
shà	
sha	
	
shāi	
shái	True
shǎi	
shài	
shai	
	
shān	
shán	
shǎn	
shàn	
shan	
	
shāng	
sháng	
shǎng	
shàng	
shang	
	
shāo	
sháo	
shǎo	
shào	
shao	
	
shē	
shé	
shě	
shè	
she	
	
shēi	True
shéi	
shěi	True
shèi	True
shei	
	
shēn	
shén	
shěn	
shèn	
shen	
	
shēng	
shéng	
shěng	
shèng	
sheng	
	
shī	
shí	
shǐ	
shì	
shi	
	
shōu	
shóu	
shǒu	
shòu	
shou	
	
shū	
shú	
shǔ	
shù	
shu	
	
shuā	
shuá	True
shuǎ	
shuà	
shua	
	
shuāi	
shuái	True
shuǎi	
shuài	
shuai	
	
shuān	
shuán	True
shuǎn	True
shuàn	
shuan	
	
shuāng	
shuáng	True
shuǎng	
shuàng	
shuang	
	
shuī	True
shuí	
shuǐ	
shuì	
shui	
	
shūn	True
shún	True
shǔn	
shùn	
shun	
	
shuō	
shuó	
shuǒ	True
shuò	
shuo	
	
sī	
sí	
sǐ	
sì	
si	
	
sōng	
sóng	
sǒng	
sòng	
song	
	
sōu	
sóu	True
sǒu	
sòu	
sou	
	
sū	
sú	
sǔ	
sù	
su	
	
suān	
suán	True
suǎn	
suàn	
suan	
	
suī	
suí	
suǐ	
suì	
sui	
	
sūn	
sún	True
sǔn	
sùn	
sun	
	
suō	
suó	
suǒ	
suò	
suo	
	
tā	
tá	
tǎ	
tà	
ta	
	
tāi	
tái	
tǎi	
tài	
tai	
	
tān	
tán	
tǎn	
tàn	
tan	
	
tāng	
táng	
tǎng	
tàng	
tang	
	
tāo	
táo	
tǎo	
tào	
tao	
	
tē	True
té	True
tě	True
tè	
te	
	
tēi	
téi	True
těi	True
tèi	True
tei	
	
tēng	
téng	
těng	True
tèng	
teng	
	
tī	
tí	
tǐ	
tì	
ti	
	
tiān	
tián	
tiǎn	
tiàn	
tian	
	
tiāo	
tiáo	
tiǎo	
tiào	
tiao	
	
tiē	
tié	
tiě	
tiè	
tie	
	
tīng	
tíng	
tǐng	
tìng	
ting	
	
tōng	
tóng	
tǒng	
tòng	
tong	
	
tōu	
tóu	
tǒu	
tòu	
tou	
	
tū	
tú	
tǔ	
tù	
tu	
	
tuān	
tuán	
tuǎn	
tuàn	
tuan	
	
tuī	
tuí	
tuǐ	
tuì	
tui	
	
tūn	
tún	
tǔn	
tùn	
tun	
	
tuō	
tuó	
tuǒ	
tuò	
tuo	
	
wā	
wá	
wǎ	
wà	
wa	
	
wāi	
wái	True
wǎi	
wài	
wai	
	
wān	
wán	
wǎn	
wàn	
wan	
	
wāng	
wáng	
wǎng	
wàng	
wang	
	
wēi	
wéi	
wěi	
wèi	
wei	
	
wēn	
wén	
wěn	
wèn	
wen	
	
wēng	
wéng	
wěng	
wèng	
weng	
	
wō	
wó	True
wǒ	
wò	
wo	
	
wū	
wú	
wǔ	
wù	
wu	
	
xī	
xí	
xǐ	
xì	
xi	
	
xiā	
xiá	
xiǎ	
xià	
xia	
	
xiān	
xián	
xiǎn	
xiàn	
xian	
	
xiāng	
xiáng	
xiǎng	
xiàng	
xiang	
	
xiāo	
xiáo	
xiǎo	
xiào	
xiao	
	
xiē	
xié	
xiě	
xiè	
xie	
	
xīn	
xín	
xǐn	
xìn	
xin	
	
xīng	
xíng	
xǐng	
xìng	
xing	
	
xiōng	
xióng	
xiǒng	
xiòng	
xiong	
	
xiū	
xiú	
xiǔ	
xiù	
xiu	
	
xū	
xú	
xǔ	
xù	
xu	
	
xuān	
xuán	
xuǎn	
xuàn	
xuan	
	
xuē	
xué	
xuě	
xuè	
xue	
	
xūn	
xún	
xǔn	True
xùn	
xun	
	
yā	
yá	
yǎ	
yà	
ya	
	
yāi	True
yái
yǎi	True
yài	True
yai	True
	
yān	
yán	
yǎn	
yàn	
yan	
	
yāng	
yáng	
yǎng	
yàng	
yang	
	
yāo	
yáo	
yǎo	
yào	
yao	
	
yē	
yé	
yě	
yè	
ye	
	
yī	
yí	
yǐ	
yì	
yi	
	
yīn	
yín	
yǐn	
yìn	
yin	
	
yīng	
yíng	
yǐng	
yìng	
ying	
	
yō	
yó	True
yǒ	True
yò	True
yo	
	
yōng	
yóng	
yǒng	
yòng	
yong	
	
yōu	
yóu	
yǒu	
yòu	
you	
	
yū	
yú	
yǔ	
yù	
yu	
	
yuān	
yuán	
yuǎn	
yuàn	
yuan	
	
yuē	
yué	
yuě	
yuè	
yue	
	
yūn	
yún	
yǔn	
yùn	
yun	
	
zā	
zá	
zǎ	
zà	
za	
	
zāi	
zái	
zǎi	
zài	
zai	
	
zān	
zán	True
zǎn	
zàn	
zan	
	
zāng	
záng	True
zǎng	
zàng	
zang	
	
zāo	
záo	
zǎo	
zào	
zao	
	
zē	
zé	
zě	True
zè	
ze	
	
zēi	True
zéi	
zěi	True
zèi	True
zei	
	
zēn	
zén	True
zěn	
zèn	
zen	
	
zēng	
zéng	True
zěng	
zèng	
zeng	
	
zhā	
zhá	
zhǎ	
zhà	
zha	
	
zhāi	
zhái	
zhǎi	
zhài	
zhai	
	
zhān	
zhán	True
zhǎn	
zhàn	
zhan	
	
zhāng	
zháng	True
zhǎng	
zhàng	
zhang	
	
zhāo	
zháo	
zhǎo	
zhào	
zhao	
	
zhē	
zhé	
zhě	
zhè	
zhe	
	
zhēi	True
zhéi	True
zhěi	True
zhèi	
zhei	
	
zhēn	
zhén	True
zhěn	
zhèn	
zhen	
	
zhēng	
zhéng	True
zhěng	
zhèng	
zheng	
	
zhī	
zhí	
zhǐ	
zhì	
zhi	
	
zhōng	
zhóng	True
zhǒng	
zhòng	
zhong	
	
zhōu	
zhóu	
zhǒu	
zhòu	
zhou	
	
zhū	
zhú	
zhǔ	
zhù	
zhu	
	
zhuā	
zhuá	True
zhuǎ	
zhuà	True
zhua	
	
zhuāi	
zhuái	True
zhuǎi	
zhuài	
zhuai	
	
zhuān	
zhuán	True
zhuǎn	
zhuàn	
zhuan	
	
zhuāng	
zhuáng	True
zhuǎng	
zhuàng	
zhuang	
	
zhuī	
zhuí	True
zhuǐ	
zhuì	
zhui	
	
zhūn	
zhún	True
zhǔn	
zhùn	
zhun	
	
zhuō	
zhuó	
zhuǒ	True
zhuò	
zhuo	
	
zī	
zí	
zǐ	
zì	
zi	
	
zōng	
zóng	True
zǒng	
zòng	
zong	
	
zōu	
zóu	
zǒu	
zòu	
zou	
	
zū	
zú	
zǔ	
zù	
zu	
	
zuān	
zuán	True
zuǎn	
zuàn	
zuan	
	
zuī	
zuí	
zuǐ	
zuì	
zui	
	
zūn	
zún	True
zǔn	
zùn	
zun	
	
zuō	
zuó	
zuǒ	
zuò	
zuo	
	
ār	
ár	
ǎr	
àr	
ar	
	
āir	
áir	
ǎir	
àir	
air	
	
ānr	
ánr	
ǎnr	
ànr	
anr	
	
āngr	
ángr	
ǎngr	
àngr	
angr	
	
āor	
áor	
ǎor	
àor	
aor	
	
bār	
bár	
bǎr	
bàr	
bar	
	
bāir	
báir	
bǎir	
bàir	
bair	
	
bānr	
bánr	True
bǎnr	
bànr	
banr	
	
bāngr	
bángr	True
bǎngr	
bàngr	
bangr	
	
bāor	
báor	
bǎor	
bàor	
baor	
	
bēir	
béir	
běir	
bèir	
beir	
	
bēnr	
bénr	True
běnr	
bènr	
benr	
	
bēngr	
béngr	True
běngr	
bèngr	
bengr	
	
bīr	
bír	
bǐr	
bìr	
bir	
	
biānr	
biánr	
biǎnr	
biànr	
bianr	
	
biāor	
biáor	True
biǎor	
biàor	
biaor	
	
biēr	
biér	
biěr	
bièr	
bier	
	
bīnr	
bínr	True
bǐnr	
bìnr	
binr	
	
bīngr	
bíngr	True
bǐngr	
bìngr	
bingr	
	
bōr	
bór	
bǒr	
bòr	
bor	
	
būr	
búr	
bǔr	
bùr	
bur	
	
cār	
cár	True
cǎr	
càr	
car	
	
cāir	
cáir	
cǎir	
càir	
cair	
	
cānr	
cánr	
cǎnr	
cànr	
canr	
	
cāngr	
cángr	
cǎngr	
càngr	
cangr	
	
cāor	
cáor	
cǎor	
càor	
caor	
	
cēr	True
cér	True
cěr	
cèr	
cer	
	
cēir	True
céir	True
cěir	
cèir	
ceir	
	
cēnr	
cénr	
cěnr	True
cènr	True
cenr	
	
cēngr	
céngr	
cěngr	True
cèngr	
cengr	
	
chār	
chár	
chǎr	
chàr	
char	
	
chāir	
cháir	
chǎir	
chàir	
chair	
	
chānr	
chánr	
chǎnr	
chànr	
chanr	
	
chāngr	
chángr	
chǎngr	
chàngr	
changr	
	
chāor	
cháor	
chǎor	
chàor	
chaor	
	
chēr	
chér	
chěr	
chèr	
cher	
	
chēnr	
chénr	
chěnr	
chènr	
chenr	
	
chēngr	
chéngr	
chěngr	
chèngr	
chengr	
	
chīr	
chír	
chǐr	
chìr	
chir	
	
chōngr	
chóngr	
chǒngr	
chòngr	
chongr	
	
chōur	
chóur	
chǒur	
chòur	
chour	
	
chūr	
chúr	
chǔr	
chùr	
chur	
	
chuār	
chuár	True
chuǎr	
chuàr	
chuar	
	
chuāir	
chuáir	
chuǎir	
chuàir	
chuair	
	
chuānr	
chuánr	
chuǎnr	
chuànr	
chuanr	
	
chuāngr	
chuángr	
chuǎngr	
chuàngr	
chuangr	
	
chuīr	
chuír	
chuǐr	
chuìr	
chuir	
	
chūnr	
chúnr	
chǔnr	
chùnr	True
chunr	
	
chuōr	
chuór	
chuǒr	True
chuòr	
chuor	
	
cīr	
cír	
cǐr	
cìr	
cir	
	
cōngr	
cóngr	
cǒngr	
còngr	
congr	
	
cōur	
cóur	
cǒur	
còur	
cour	
	
cūr	
cúr	
cǔr	
cùr	
cur	
	
cuānr	
cuánr	
cuǎnr	True
cuànr	
cuanr	
	
cuīr	
cuír	
cuǐr	
cuìr	
cuir	
	
cūnr	
cúnr	
cǔnr	
cùnr	
cunr	
	
cuōr	
cuór	
cuǒr	
cuòr	
cuor	
	
dār	
dár	
dǎr	
dàr	
dar	
	
dāir	
dáir	True
dǎir	
dàir	
dair	
	
dānr	
dánr	True
dǎnr	
dànr	
danr	
	
dāngr	
dángr	True
dǎngr	
dàngr	
dangr	
	
dāor	
dáor	
dǎor	
dàor	
daor	
	
dēr	
dér	
děr	True
dèr	True
der	
	
dēir	
déir	True
děir	
dèir	True
deir	
	
dēnr	True
dénr	True
děnr	True
dènr	
denr	
	
dēngr	
déngr	True
děngr	
dèngr	
dengr	
	
dīr	
dír	
dǐr	
dìr	
dir	
	
diār	True
diár	True
diǎr	
diàr	True
diar	
	
diānr	
diánr	
diǎnr	
diànr	
dianr	
	
diāor	
diáor	True
diǎor	
diàor	
diaor	
	
diēr	
diér	
diěr	
dièr	
dier	
	
dīngr	
díngr	True
dǐngr	
dìngr	
dingr	
	
diūr	
diúr	True
diǔr	True
diùr	True
diur	
	
dōngr	
dóngr	True
dǒngr	
dòngr	
dongr	
	
dōur	
dóur	
dǒur	
dòur	
dour	
	
dūr	
dúr	
dǔr	
dùr	
dur	
	
duānr	
duánr	True
duǎnr	
duànr	
duanr	
	
duīr	
duír	True
duǐr	
duìr	
duir	
	
dūnr	
dúnr	True
dǔnr	
dùnr	
dunr	
	
duōr	
duór	
duǒr	
duòr	
duor	
	
ēr	
ér	
ěr	
èr	
er	
	
ēir	
éir	
ěir	
èir	
eir	
	
ēnr	
énr	True
ěnr	
ènr	
enr	
	
ēngr	
éngr	True
ěngr	True
èngr	True
engr	
	
ēr	True
ér
ěr
èr
er	

fār	
fár	
fǎr	
fàr	
far	
	
fānr	
fánr	
fǎnr	
fànr	
fanr	
	
fāngr	
fángr	
fǎngr	
fàngr	
fangr	
	
fēir	
féir	
fěir	
fèir	
feir	
	
fēnr	
fénr	
fěnr	
fènr	
fenr	
	
fēngr	
féngr	
fěngr	
fèngr	
fengr	
	
fiāor	True
fiáor	True
fiǎor	True
fiàor	True
fiaor	True
	
fōr	True
fór	
fǒr	True
fòr	True
for	
	
fōur	
fóur	
fǒur	
fòur	
four	
	
fūr	
fúr	
fǔr	
fùr	
fur	
	
gār	
gár	
gǎr	
gàr	
gar	
	
gāir	
gáir	True
gǎir	
gàir	
gair	
	
gānr	
gánr	True
gǎnr	
gànr	
ganr	
	
gāngr	
gángr	True
gǎngr	
gàngr	
gangr	
	
gāor	
gáor	True
gǎor	
gàor	
gaor	
	
gēr	
gér	
gěr	
gèr	
ger	
	
gēir	True
géir	True
gěir	
gèir	
geir	
	
gēnr	
génr	True
gěnr	
gènr	
genr	
	
gēngr	
géngr	True
gěngr	
gèngr	
gengr	
	
gōngr	
góngr	True
gǒngr	
gòngr	
gongr	
	
gōur	
góur	TrueTrue
gǒur	
gòur	
gour	
	
gūr	
gúr	
gǔr	
gùr	
gur	
	
guār	
guár	
guǎr	
guàr	
guar	
	
guāir	
guáir	True
guǎir	
guàir	
